"MESH","MESH_ANCESTOR"
"D000070634","D000070634"
"D000081483","D000081483"
"D000084443","D000084443"
"D003158","D003158"
"D004457","D004457"
"D005329","D005329"
"D006342","D006342"
"D012043","D012043"
"D012303","D012303"
"D015328","D015328"
"D017573","D017573"
"D018327","D018327"
"D020720","D020720"
"D021782","D021782"
"D046648","D046648"
"D049471","D049471"
"D050035","D050035"
"D054418","D054418"
"D054547","D054547"
"D055458","D055458"
"D058749","D058749"
"D062688","D062688"
"D065787","D065787"
"D066195","D066195"
"D000071678","D000071678"
"D000075906","D000075906"
"D002485","D002485"
"D008389","D008389"
"D008588","D008588"
"D018214","D018214"
"D019513","D019513"
"D035622","D035622"
"D058736","D058736"
"D060047","D060047"
"D006553","D006553"
"D018252","D018252"
"D019940","D019940"
"D020197","D020197"
"D049328","D049328"
"D052858","D052858"
"D060437","D060437"
"D000071238","D000071238"
"D000069289","D000069289"
"D019744","D019744"
"D060945","D060945"
"D060966","D060966"
"D065570","D065570"
"D054991","D054991"
"D000066499","D000066499"
"D000067570","D000067570"
"D000068678","D000068678"
"D000074268","D000074268"
"D000077085","D000077085"
"D000077221","D000077221"
"D000078122","D000078122"
"D000083282","D000083282"
"D000083505","D000083505"
"D000087023","D000087023"
"D000533","D000533"
"D001019","D001019"
"D001689","D001689"
"D001720","D001720"
"D001819","D001819"
"D001981","D001981"
"D001983","D001983"
"D002015","D002015"
"D002179","D002179"
"D002275","D002275"
"D002345","D002345"
"D002961","D002961"
"D003487","D003487"
"D003809","D003809"
"D004659","D004659"
"D005173","D005173"
"D006393","D006393"
"D006431","D006431"
"D006700","D006700"
"D007015","D007015"
"D007152","D007152"
"D007764","D007764"
"D008149","D008149"
"D008200","D008200"
"D008201","D008201"
"D008438","D008438"
"D008637","D008637"
"D008893","D008893"
"D009321","D009321"
"D009558","D009558"
"D009671","D009671"
"D009800","D009800"
"D010344","D010344"
"D010921","D010921"
"D011547","D011547"
"D011556","D011556"
"D011781","D011781"
"D012511","D012511"
"D013391","D013391"
"D014010","D014010"
"D014039","D014039"
"D014354","D014354"
"D015210","D015210"
"D017044","D017044"
"D018203","D018203"
"D018227","D018227"
"D018761","D018761"
"D018907","D018907"
"D019333","D019333"
"D019687","D019687"
"D020070","D020070"
"D020458","D020458"
"D020904","D020904"
"D026141","D026141"
"D026706","D026706"
"D033282","D033282"
"D034321","D034321"
"D035082","D035082"
"D035502","D035502"
"D035521","D035521"
"D036821","D036821"
"D049469","D049469"
"D050418","D050418"
"D053624","D053624"
"D056630","D056630"
"D056725","D056725"
"D056728","D056728"
"D056729","D056729"
"D056733","D056733"
"D058387","D058387"
"D058568","D058568"
"D059606","D059606"
"D061252","D061252"
"D065171","D065171"
"D066107","D066107"
"D000024","D000024"
"D000027","D000027"
"D000066498","D000066498"
"D000067289","D000067289"
"D000067390","D000067390"
"D000067398","D000067398"
"D000067453","D000067453"
"D000067656","D000067656"
"D000068776","D000068776"
"D000068796","D000068796"
"D000068998","D000068998"
"D000069261","D000069261"
"D000069282","D000069282"
"D000069292","D000069292"
"D000069459","D000069459"
"D000070263","D000070263"
"D000070614","D000070614"
"D000070632","D000070632"
"D000070636","D000070636"
"D000070918","D000070918"
"D000071538","D000071538"
"D000071556","D000071556"
"D000071960","D000071960"
"D000072020","D000072020"
"D000072100","D000072100"
"D000072637","D000072637"
"D000072817","D000072817"
"D000072836","D000072836"
"D000072861","D000072861"
"D000073183","D000073183"
"D000073577","D000073577"
"D000073605","D000073605"
"D000073865","D000073865"
"D000073869","D000073869"
"D000073932","D000073932"
"D000074049","D000074049"
"D000074062","D000074062"
"D000074301","D000074301"
"D000074747","D000074747"
"D000074767","D000074767"
"D000074924","D000074924"
"D000075066","D000075066"
"D000075122","D000075122"
"D000075704","D000075704"
"D000075942","D000075942"
"D000076082","D000076082"
"D000076263","D000076263"
"D000077330","D000077330"
"D000077423","D000077423"
"D000078722","D000078722"
"D000079527","D000079527"
"D000080048","D000080048"
"D000080343","D000080343"
"D000080545","D000080545"
"D000080873","D000080873"
"D000080943","D000080943"
"D000081012","D000081012"
"D000081013","D000081013"
"D000081029","D000081029"
"D000082563","D000082563"
"D000084202","D000084202"
"D000084282","D000084282"
"D000084462","D000084462"
"D000085343","D000085343"
"D000087503","D000087503"
"D000090683","D000090683"
"D000174","D000174"
"D000197","D000197"
"D000234","D000234"
"D000323","D000323"
"D000386","D000386"
"D000405","D000405"
"D000552","D000552"
"D000742","D000742"
"D000843","D000843"
"D000862","D000862"
"D001039","D001039"
"D001046","D001046"
"D001072","D001072"
"D001098","D001098"
"D001176","D001176"
"D001183","D001183"
"D001184","D001184"
"D001293","D001293"
"D001304","D001304"
"D001326","D001326"
"D001366","D001366"
"D001449","D001449"
"D001694","D001694"
"D001721","D001721"
"D001742","D001742"
"D001801","D001801"
"D001903","D001903"
"D001906","D001906"
"D001907","D001907"
"D002058","D002058"
"D002081","D002081"
"D002178","D002178"
"D002180","D002180"
"D002270","D002270"
"D002285","D002285"
"D002348","D002348"
"D002558","D002558"
"D002592","D002592"
"D002598","D002598"
"D002601","D002601"
"D002640","D002640"
"D002754","D002754"
"D002759","D002759"
"D002805","D002805"
"D002812","D002812"
"D002815","D002815"
"D002959","D002959"
"D002968","D002968"
"D002987","D002987"
"D003047","D003047"
"D003086","D003086"
"D003171","D003171"
"D003193","D003193"
"D003230","D003230"
"D003235","D003235"
"D003236","D003236"
"D003279","D003279"
"D003281","D003281"
"D003557","D003557"
"D003750","D003750"
"D003820","D003820"
"D003885","D003885"
"D003963","D003963"
"D004313","D004313"
"D004370","D004370"
"D004375","D004375"
"D004406","D004406"
"D004416","D004416"
"D004424","D004424"
"D004425","D004425"
"D004426","D004426"
"D004433","D004433"
"D004474","D004474"
