"MESH","NumberOfChilds"
"D011230",14
"D054512",2
"D016934",1
"D014571",9
"D003238",57
"D016008",4
"D009984",10
"D006828",1
"D010255",1
"D003345",1
"D002899",1
"D012087",12
"D024221",1
"D014458",1
"D001977",1
"D012509",39
"D063245",4
"D013787",9
"D017599",49
"D002853",14
"D055231",2
"D018677",3
"D012393",1
"D008992",2
"D060887",6
"D007062",4
"D029625",2
"D058833",3
"D002591",16
"D019759",11
"D055724",38
"D006023",303
"D000075224",31
"D058851",31
"D001178",13
"D003628",1
"D015616",9
"D050496",2
"D012142",20
"D005835",59
"D043243",3
"D052678",1
"D012941",2
"D046048",1
"D002858",1
"D000486",1
"D001431",8
"D009417",4
"D015150",2
"D000068598",1
"D011955",7
"D051098",2
"D000375",7
"D003744",1
"D005674",2
"D010605",6
"D010780",2
"D019282",1
"D037061",1
"D010627",47
"D006233",7
"D000813",29
"D019291",6
"D009925",4
"D011741",35
"D050577",7
"D066148",2
"D008925",10
"D014162",1
"D005412",1
"D053141",2
"D010609",2
"D001337",12
"D050151",1
"D014807",9
"D005290",4
"D058538",4
"D013885",1
"D020181",1
"D005942",2
"D003581",17
"D006410",7
"D007655",1
"D005728",2
"D030162",3
"D006588",1
"D001230",6
"D003023",2
"D011506",3641
"D010867",1
"D005220",1
"D000068099",9
"D034441",12
"D000244",5
"D011684",24
"D001772",7
"D014798",22
"D005096",3
"D016920",7
"D058674",2
"D007938",41
"D010321",17
"D009798",6
"D002244",9
"D003415",41
"D001572",11
"D003338",1
"D024841",11
"D002428",1
"D015987",4
"D012898",66
"D000588",349
"D001055",2
"D008607",18
"D000070590",70
"D049308",28
"D011947",3
"D051078",23
"D007575",1
"D008259",2
"D011315",3
"D003677",32
"D013581",1
"D027981",33
"D002694",7
"D013684",4
"D007734",1
"D006768",2
"D065730",2
"D016387",1
"D003095",10
"D012282",5
"D010743",22
"D002479",7
"D004349",1
"D007850",1
"D019613",1
"D003109",3
"D010430",23
"D009699",16
"D011578",2
"D007165",5
"D013841",2
"D017907",2
"D015785",41
"D009473",2
"D018895",3
"D018910",1
"D009178",27
"D003731",2
"D014787",7
"D014019",3
"D015899",2
"D004636",1
"D045342",5
"D004700",168
"D018655",2
"D019022",1
"D000073563",8
"D005393",2
"D019529",6
"D013307",1
"D000311",6
"D005543",2
"D046911",291
"D014529",10
"D006180",5
"D000089804",2
"D007476",4
"D005552",2
"D059248",1
"D013664",26
"D009778",2
"D014973",2
"D005989",5
"D004113",1
"D027241",4
"D012459",11
"D016139",1
"D010689",3
"D010415",1
"D003592",3
"D000581",33
"D005521",1
"D040901",1
"D055009",2
"D011119",26
"D012390",5
"D002371",4
"D016723",4
"D020072",12
"D015703",6
"D010125",2
"D009581",10
"D002072",1
"D001397",2
"D064868",1
"D041622",1
"D011563",7
"D029541",3
"D008213",1
"D014221",1
"D001846",3
"D007155",17
"D016575",1
"D000421",1
"D006477",2
"D002304",1
"D011292",1
"D016195",1
"D018490",11
"D010052",1
"D010483",4
"D016207",118
"D050660",5
"D003508",5
"D013378",2
"D008513",1
"D005449",6
"D011569",2
"D042241",1
"D018409",1
"D011995",14
"D031652",1
"D049914",11
"D003205",96
"D007016",1
"D042063",2
"D013924",1
"D002925",1
"D008685",37
"D012123",7
"D010556",14
"D009313",3
"D002298",15
"D002406",1
"D007232",54
"D028462",2
"D009132",49
"D000475",59
"D000944",4
"D013674",12
"D009297",3
"D007469",2
"D012953",1
"D001026",2
"D056484",1
"D000085",44
"D019699",1
"D000071837",2
"D002995",1
"D042822",3
"D008518",8
"D000070476",2
"D009638",3
"D009573",2
"D059014",2
"D014777",229
"D004983",31
"D003929",1
"D059907",2
"D010348",2
"D013453",8
"D046709",4
"D014581",5
"D004872",2
"D029561",6
"D000080745",2
"D001024",6
"D010944",12
"D004868",5
"D061217",1
"D020791",2
"D000072282",1
"D011768",3
"D000840",2
"D000196",2
"D027741",2
"D006058",51
"D016127",3
"D000081222",2
"D055885",1
"D001647",16
"D036262",3
"D006326",1
"D051558",1
"D007799",1
"D011201",2
"D000071087",2
"D018263",1
"D010296",2
"D006799",1
"D004912",11
"D029701",3
"D014355",1
"D041742",21
"D010014",3
"D001949",1
"D012678",42
"D010898",1
"D020511",6
"D055351",13
"D033902",1
"D007105",4
"D003561",1
"D000068",1
"D027062",4
"D007029",2
"D002561",78
"D000783",18
"D000291",25
"D013558",1
"D019187",1
"D006854",1
"D010388",2
"D006300",4
"D005334",2
"D019426",2
"D017187",1
"D000078522",4
"D013043",15
"D005756",2
"D013735",1
"D048708",6
"D009279",21
"D000077299",1
"D002823",1
"D040181",35
"D008298",2
"D009455",5
"D045851",1
"D004068",28
"D011636",9
"D011211",1
"D027682",32
"D020960",1
"D009025",11
"D008088",1
"D002634",1
"D009186",2
"D010067",3
"D001157",23
"D014407",15
"D004678",1
"D016025",1
"D005807",1
"D020308",6
"D048909",10
"D003161",4
"D053279",4
"D043963",1
"D059525",1
"D004398",2
"D000071183",7
"D020580",1
"D011606",3
"D000647",4
"D002461",3
"D045662",1
"D015828",6
"D010245",2
"D008361",2
"D000468",18
"D009330",3
"D017016",1
"D051179",3
"D063148",1
"D006576",99
"D006117",1
"D007506",15
"D028226",2
"D014201",12
"D016346",1
"D010840",5
"D014021",12
"D000067558",1
"D051856",11
"D026324",1
"D006782",12
"D013971",1
"D020647",1
"D002523",1
"D012487",7
"D020221",1
"D054778",1
"D001458",6
"D003381",1
"D011364",49
"D015331",5
"D009972",1
"D015999",2
"D024722",2
"D002009",2
"D055155",1
"D018114",1
"D018943",9
"D011856",11
"D010181",1
"D018123",48
"D006614",2
"D010092",1
"D016472",5
"D039562",3
"D000068298",1
"D007094",12
"D018712",3
"D000068356",1
"D034801",1
"D000078329",1
"D007210",2
"D017479",2
"D047069",9
"D011711",2
"D003643",22
"D004691",1
"D012552",4
"D004144",1
"D005402",25
"D006990",3
"D012046",64
"D020767",4
"D002452",9
"D018185",5
"D050051",6
"D057285",1
"D002348",8
"D008636",25
"D000614",3
"D017866",1
"D012872",18
"D050579",2
"D042682",2
"D052139",10
"D016021",13
"D004224",30
"D001944",1
"D063066",3
"D019858",7
"D029061",9
"D001222",1
"D045165",13
"D000076944",25
"D051436",2
"D008179",1
"D006507",2
"D009349",42
"D000928",2
"D001879",1
"D005131",7
"D000042",19
"D006256",1
"D004388",1
"D029586",6
"D053505",13
"D057510",12
"D012924",3
"D006893",1
"D014726",1
"D020389",2
"D011498",37
"D000542",4
"D002331",2
"D002339",4
"D000970",16
"D005655",4
"D002135",52
"D022161",12
"D016905",114
"D001840",3
"D027901",4
"D065886",28
"D017437",385
"D000882",64
"D036541",1
"D056264",4
"D006929",1
"D018450",2
"D007231",7
"D024642",17
"D063988",1
"D051638",1
"D016843",2
"D012371",1
"D049751",1
"D006838",740
"D003252",1
"D005376",22
"D003936",2
"D041965",6
"D011051",2
"D012833",7
"D020792",2
"D001892",1
"D003713",1
"D018805",10
"D062407",3
"D000447",18
"D011868",65
"D034281",3
"D008331",15
"D000225",11
"D000072496",1
"D018519",2
"D006981",2
"D019637",55
"D027481",7
"D044347",2
"D009000",3
"D000082662",1
"D036281",3
"D019661",28
"D054658",3
"D009272",307
"D017943",5
"D009424",121
"D003031",1
"D008774",1
"D010670",2
"D009726",14
"D013951",5
"D017751",1
"D058255",2
"D004943",1
"D004213",1
"D014167",1
"D009606",1
"D007773",3
"D056448",15
"D003174",1
"D045524",3
"D002780",2
"D013768",2
"D000206",2
"D046094",5
"D031178",1
"D014555",16
"D019737",7
"D060306",2
"D005299",2
"D029748",8
"D010936",13
"D001755",2
"D013506",12
"D018432",3
"D020758",2
"D006389",2
"D011742",30
"D000814",78
"D000166",13
"D000822",1
"D016115",1
"D009676",30
"D000606",17
"D006133",5
"D014885",1
"D004041",16
"D025861",22
"D019143",1
"D014808",5
"D002493",402
"D000073417",2
"D010610",5
"D064419",109
"D054417",2
"D008673",10
"D014614",10
"D018882",4
"D023181",14
"D009161",19
"D022083",86
"D040761",9
"D015576",8
"D016623",114
"D011804",54
"D013662",1
"D037621",3
"D015186",8
"D002668",1
"D020820",25
"D005534",10
"D055847",1
"D011701",1
"D007461",2
"D003534",1
"D007072",1
"D046810",1
"D008328",1
"D019590",13
"D008958",2
"D026923",7
"D017299",1
"D002551",2
"D010661",1
"D015971",2
"D000090862",45
"D004989",46
"D012154",3
"D018294",8
"D021721",1
"D004152",4
"D009565",4
"D064047",3
"D019918",1
"D009247",20
"D017681",1
"D005380",14
"D053610",30
"D007143",6
"D044263",3
"D004493",101
"D008064",23
"D002593",1
"D032462",6
"D003486",6
"D012213",3
"D061223",2
"D020271",50
"D005111",3
"D028341",1
"D013006",1
"D000937",11
"D064349",26
"D010537",6
"D008665",2
"D018796",2
"D010208",1
"D000440",3
"D009483",13
"D000069079",14
"D011392",3
"D062346",2
"D056127",2
"D001249",5
"D014280",2
"D004597",2
"D010006",1
"D000144",224
"D014443",13
"D000953",2
"D018678",9
"D016798",20
"D006548",3
"D000320",1
"D006403",30
"D007436",1
"D007677",3
"D006331",190
"D011882",3
"D016265",1
"D014873",2
"D005170",1
"D053831",16
"D003935",70
"D006343",8
"D011640",9
"D010699",1
"D055616",1
"D020618",1
"D000679",4
"D001829",96
"D029063",4
"D012098",91
"D015530",1
"D011453",33
"D014764",87
"D003913",1
"D005786",50
"D011120",4
"D006701",1
"D004254",11
"D011127",3
"D039105",1
"D017611",8
"D008568",10
"D040021",1
"D002813",2
"D001007",6
"D009053",3
"D056907",1
"D007535",62
"D029941",2
"D017879",4
"D009378",7
"D001847",162
"D016393",7
"D055772",1
"D020350",1
"D017470",6
"D007312",3
"D000209",16
"D008193",3
"D006219",7
"D008869",16
"D017281",1
"D006963",1
"D047468",9
"D016871",8
"D043344",440
"D012960",10
"D015864",12
"D004892",1
"D004303",1
"D006730",258
"D000071162",3
"D003295",2
"D012008",2
"D009368",2
"D013850",19
"D011445",4
"D020276",1
"D001928",66
"D048031",3
"D009435",5
"D003766",4
"D030521",5
"D062687",2
"D010364",1
"D009141",223
"D045424",266
"D017512",5
"D004711",1
"D010376",2
"D000076225",1
"D002757",17
"D066245",2
"D007009",6
"D020868",2
"D066255",7
"D000262",1
"D000081004",6
"D001077",4
"D004351",22
"D009799",35
"D019366",2
"D017972",2
"D050256",1
"D005314",39
"D000078102",1
"D017981",113
"D042842",2
"D020209",17
"D006097",4
"D006863",2
"D059003",2
"D000590",2
"D013906",1
"D006296",269
"D017979",1
"D004769",12
"D010087",43
"D058108",1
"D020918",2
"D014594",5
"D001798",308
"D009861",50
"D013272",24
"D014974",3
"D010744",54
"D000074602",6
"D037241",2
"D016494",2
"D008020",2
"D014757",4
"D025101",4
"D059411",8
"D011634",472
"D000638",1
"D013324",2
"D007082",2
"D014546",1
"D011964",7
"D051127",1
"D017854",3
"D007603",43
"D005685",1
"D011008",2
"D007882",1
"D012793",1
"D004701",39
"D018043",5
"D058998",1
"D012164",42
"D045022",4
"D028141",6
"D004655",1
"D010807",2
"D014176",18
"D012943",1
"D000067011",1
"D063867",1
"D033903",2
"D003562",14
"D012689",1
"D029631",7
"D001717",39
"D002877",33
"D020262",1
"D004406",4
"D019652",7
"D011349",1
"D031381",2
"D003358",12
"D007883",2
"D001525",67
"D018326",15
"D020663",4
"D006302",11
"D006856",7
"D008744",3
"D064866",1
"D007303",1
"D012853",1
"D016757",1
"D018103",6
"D009196",12
"D019159",26
"D005123",59
"D018616",2
"D029321",1
"D009093",1
"D000075368",1
"D044462",3
"D004536",3
"D037121",9
"D013629",2
"D003872",29
"D017408",2
"D004548",2
"D000071458",4
"D004586",31
"D012196",3
"D013401",12
"D019191",2
"D000963",7
"D010050",2
"D009728",1
"D013077",1
"D009640",1
