MESH,TOTAL_PMID_MESH
D000001,11881
D000002,394
D000003,1041
D000005,25210
D000006,820
D000007,1315
D000008,7108
D000009,2579
D000010,196
D000011,124
D000012,293
D000013,96086
D000014,10315
D000015,17459
D000016,144
D000017,3043
D000018,1056
D000019,4037
D000020,2668
D000021,987
D000022,7995
D000024,187
D000026,1959
D000027,200
D000030,304
D000031,212
D000033,845
D000034,987
D000035,43
D000036,149
D000037,360
D000038,10749
D000039,159
D000040,7270
D000041,513
D000042,70284
D000045,748
D000048,1142
D000049,167
D000050,80
D000051,204
D000052,519
D000053,8115
D000054,991
D000055,52
D000057,9
D000064,10101
D000065,865
D000066388,287
D000066428,22
D000066448,179
D000066449,504
D000066450,557
D000066473,17
D000066477,28
D000066479,207
D000066492,85
D000066494,11
D000066498,38
D000066499,136
D000066502,7
D000066505,14
D000066506,30
D000066511,529
D000066550,15
D000066553,168
D000066608,75
D000066630,117
D000066670,216
D000066673,450
D000066829,1372
D000066888,577968
D000066889,46
D000066908,239
D000066928,56
D000066970,282
D000067009,13
D000067010,11
D000067011,977
D000067029,3005
D000067030,1474
D000067048,13
D000067071,121
D000067073,65
D000067074,14
D000067075,5045
D000067088,21
D000067128,4555
D000067148,88
D000067170,34
D000067208,13
D000067251,280
D000067269,86
D000067289,56
D000067290,114
D000067292,36
D000067329,62
D000067348,203
D000067390,482
D000067393,5283
D000067397,224
D000067398,28
D000067401,223
D000067404,6
D000067453,42
D000067455,4
D000067489,17
D000067528,789
D000067531,193
D000067548,754
D000067551,4
D000067552,12
D000067556,70
D000067558,4085
D000067559,1
D000067562,72
D000067563,9
D000067570,29
D000067573,12
D000067596,699
D000067616,128
D000067617,1
D000067636,6
D000067656,29
D000067657,17
D000067696,243
D000067698,30
D000067699,341
D000067719,101
D000067736,13
D000067756,3113
D000067757,3020
D000067758,97
D000067759,2048
D000067776,5256
D000067777,19
D000067778,47
D000067779,45
D000067780,373
D000067796,2820
D000067816,13139
D000067836,12
D000067856,3178
D000067877,5192
D000067878,97
D000067879,60
D000067896,69
D000067936,387
D000067940,82
D000067956,2771
D000067996,7636
D000068016,15968
